,地点,时间,地点经纬度,longtitude,latitude,存栏,发病,死亡
80,四川省成都市新津县,2018.11.17,"30°23'52.2""N 103°49'01.6""E",103.8171111,30.39783333,110,27,13
81,云南省昭通市威信县,2018.11.16,"27°56'42.8""N 105°03'51.6""E",105.0643333,27.94522222,1,1,1
82,四川省宜宾市高县,2018.11.16,"28°22'25.9""N 104°34'01.1""E",104.5669722,28.37386111,40,16,10
83,湖北省黄冈市浠水县,2018.11.15,"30°36'42.7""N 115°06'48.6""E",115.1135,30.61186111,636,24,13
84,湖北省武穴市,2018.11.12,"29°53'56.7""N 115°33'56.0""E",115.5655556,29.89908333,147,7,6
85,安徽省青阳县,2018.11.09,"30°42'47.6""N 117°48'36.6""E",117.8101667,30.71322222,8339,96,47
86,福建省莆田市城厢区,2018.11.08,"25°26'18.6""N 118°58'13.6""E",118.9704444,25.4385,4521,85,85
87,湖南省娄底市涟源市,2018.11.08,"27°44'29.7""N 111°45'06.0""E",111.7516667,27.74158333,9,4,1
88,江西省上饶市万年县,2018.11.08,"28°36'15.9""N 117°00'00.3""E",117.0000833,28.60441667,154,49,49
89,吉林省延边朝鲜族自治州龙井市,2018.11.08,"42°42'07.6""N 129°32'39.2""E",129.5442222,42.70211111,930,144,144
90,湖北省罗田县,2018.11.07,"30°45'42.8""N 115°24'44.4""E",115.4123333,30.76188889,821,22,4
91,湖南省湘西土家族苗族自治州保靖县,2018.11.05,"28°43'39.2""N 109°22'13.9""E",109.3705278,28.72755556,119,11,4
92,重庆市丰都县兴义镇,2018.11.04,"30°00'07.3""N 107°51'25.0""E",107.8569444,30.00202778,309,3,3
93,山西省太原市阳曲县西凌井乡,2018.11.03,"38°08'40.0""N 112°25'48.9""E",112.43025,38.14444444,47,25,7
94,山西省太原市阳曲县,2018.10.30,"38°03'48.1""N 112°40'30.6""E",112.6751667,38.06336111,210,75,47
95,湖南省怀化市沅陵县,2018.10.30,"28°28'11.0""N 110°23'34.6""E",110.3929444,28.46972222,144,25,22
96,云南省普洱市思茅区,2018.10.30,"22°36'06.9""N 101°15'36.0""E",101.26,22.60191667,36,5,1
97,湖南省常德市桃源县,2018.10.27,"29°00'33.2""N 111°29'29.6""E",111.4915556,29.00922222,7684,106,99
98,贵州省毕节市七星关区,2018.10.26,"27°21'22.0""N 105°15'48.5""E",105.2634722,27.35611111,49,25,25
99,湖南省益阳市桃江县,2018.10.22,"28°22'14.3""N 111°46'44.1""E",111.7789167,28.37063889,546,44,17
100,常德市桃源县,2018.10.22,"28°58'08.1""N 111°28'03.7""E",111.4676944,28.96891667,268,208,31
101,浙江省台州市三门县,2018.10.21,"29°01'23.6""N 121°22'19.5""E",121.3720833,29.02322222,2280,56,56
102,云南省昭通市镇雄县牛场镇,2018.10.20,"27°30'31.8""N 104°34'15.1""E",104.5708611,27.50883333,804,298,298
103,云南省昭通市镇雄县母享镇,2018.10.20,"27°33'45.6""N 105°11'24.4""E",105.1901111,27.56266667,353,247,247
104,山西省大同市左云县,2018.10.17,"40°06'43.7""N 112°51'51.0""E",112.8641667,40.11213889,15,7,4
105,辽宁省盘锦市大洼区西安镇,2018.10.16,"40°55'41.4""N 122°14'09.2""E",122.2358889,40.92816667,161,43,43
106,辽宁省铁岭市开原市庆云堡镇,2018.10.15,"42°33'21.8""N 123°50'44.8""E",123.8457778,42.55605556,6640,50,14
107,盘锦市大洼区清水镇,2018.10.15,"41°02'18.5""N 122°00'47.5""E",122.0131944,41.03847222,4323,1030,1030
108,盘锦市大洼区王家街道,2018.10.15,"41°08'09.4""N 122°11'04.7""E",122.1846389,41.13594444,3223,31,20
109,锦州市北镇市,2018.10.14,"41°38'36.1""N 121°51'37.5""E",121.8604167,41.64336111,19938,221,221
110,盘锦市大洼区王家街道曙光村,2018.10.14,"40°57'33.1""N 122°01'29.4""E",122.0248333,40.95919444,1571,109,109
111,盘锦市大洼区王家街道王家村,2018.10.14,"40°56'56.9""N 122°03'58.9""E",122.0663611,40.94913889,270,129,129
112,天津市蓟州区侯家营镇,2018.10.12,"39°51'18.8""N 117°14'57.7""E",117.2493611,39.85522222,639,292,189
113,鞍山市台安县新台镇,2018.10.12,"41°19'35.5""N 122°22'02.6""E",122.3673889,41.32652778,120,88,72
114,大连市普兰店区,2018.10.11,"39°21'15.5""N 122°15'56.4""E",122.2656667,39.35430556,1353,20,11
115,鞍山市台安县,2018.10.08,"41°23'16.3""N 122°26'56.2""E",122.4489444,41.38786111,460,160,160
116,大石桥市高坎镇革家村、旗口镇宿东村、王围村、新兴村和老边区路南镇新立村、边城镇北于杨村,2018.10.07,"40°47'54.8""N 122°29'36.5""E",122.4934722,40.79855556,3358,334,93
117,吉林省松原市长岭县,2018.09.28,"44°22'16.6""N 123°47'25.6""E",123.7904444,44.37127778,44,8,3
118,内蒙古自治区呼和浩特市一屠宰场,2018.09.22,"40°43'13.4""N 111°08'15.3""E",111.1375833,40.72038889,388,4,2
